"Brightness change"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	0.516453	0.571806	1	1	0.452134	
-117	0.619331	0.159704	1	0.764643	0.50272	
-107	0.379362	0.839249	1	1	0.102691	
-97	0.66677	0.695168	0.570462	1	0.386167	
-87	0.0904363	0.203024	0.458756	0.685504	0.2347	
-77	0.0811664	0.392535	1	0.441952	0.198273	
-67	0.135117	0.0253214	0.429173	0.333315	0.129676	
-57	0.547446	0.201715	0.143207	0.224775	0.0118666	
-47	0.703048	0.208906	0.238896	0.136702	0.0272184	
-37	0.322708	0.0767078	0.107514	0.0895609	0.00879939	
-27	0.0257466	0.0309028	0.0453176	0.0102193	0.0182531	
-17	0.00567714	0.00408095	3.38565e-14	0.00185168	0.00260185	
-7	2.09103e-06	1.68568e-05	4.107e-14	6.2638e-05	9.87373e-07	
3	3.05827e-06	1.07073e-05	1.33872e-15	2.93764e-05	9.11138e-07	
13	5.06985e-06	3.22875e-05	5.45027e-15	5.6606e-05	8.64726e-07	
23	7.51209e-05	0.000386648	2.64185e-14	3.0941e-05	6.58582e-05	
33	0.00410993	0.00424247	2.1086e-15	0.0040328	0.00154353	
43	0.0719406	0.052451	2.55936e-14	0.0200682	0.0080208	
53	0.102962	0.137704	0.165244	0.0155978	0.0239512	
63	0.25955	0.177925	0.199413	0.0535164	0.0364542	
73	0.874419	0.41652	0.16541	0.0459346	0.0277245	
83	1	0.306358	0.178418	0.096287	0.0584312	
93	0.85935	0.192208	0.556778	0.0551705	0.128974	
103	0.282263	0.528552	0.239799	0.0581007	0.201677	
113	0.475191	0.883856	0.338567	0.168738	0.0588404	
123	0.246056	1	0.427975	0.122646	0.16135	
"Gaussian blur"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	0.229615	0.0838381	0.93579	0.168407	0.03987	
2	0.549601	0.285621	0.131812	0.254787	0.203982	
3	0.259484	0.362594	0.268031	0.423816	0.230228	
4	0.322587	0.296873	1	1	0.341299	
5	0.565356	0.522469	1	0.498453	0.512632	
6	0.6644	0.623782	1	1	0.918729	
7	0.262506	0.549057	1	1	0.711396	
8	1	1	1	1	0.978423	
9	1	1	1	1	1	
"Rotation"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	6.37941e-14	3.42146e-15	4.8745e-15	1.75758e-15	1.69414e-14	
10	0.0317313	0.657932	0.645998	0.0862694	0.445816	
20	0.212628	0.410232	1	0.226418	0.517495	
30	0.670265	0.493329	0.782984	0.23972	0.407717	
40	0.423237	0.723887	1	0.217991	0.0860719	
50	0.0828959	0.54436	0.368365	0.284417	0.445302	
60	0.307686	0.327105	1	0.263504	0.438208	
70	0.364555	0.0945875	1	0.280861	0.669603	
80	0.491214	0.0388055	0.376158	0.269798	0.357625	
90	0.323612	0.507396	0.56596	0.502121	0.0162981	
100	0.553038	0.302829	0.573273	0.352876	0.315597	
110	0.812036	0.155666	1	0.453855	1	
120	0.611211	0.459979	1	0.565774	1	
130	0.483648	0.16347	1	0.453759	0.923561	
140	0.321746	0.482171	0.518567	0.676847	0.553667	
150	0.514998	0.141895	1	0.594293	1	
160	0.564276	0.0896704	1	0.845219	0.149613	
170	0.417477	0.513292	1	0.576797	0.234628	
180	0.318733	0.0356347	0.247352	0.565614	0.077618	
190	0.324496	0.277393	1	0.564199	0.255503	
200	0.262272	0.150987	1	0.53585	1	
210	0.282792	0.681582	1	0.700652	1	
220	0.131975	0.671005	0.624206	0.839457	0.750012	
230	0.467119	0.253092	1	0.650027	1	
240	0.390653	0.223531	0.854006	0.637644	0.270285	
250	0.448267	0.0527487	0.610367	0.595456	0.44582	
260	0.14978	0.364541	0.747111	0.591186	0.286659	
270	0.248424	0.140326	0.224714	0.525137	0.0122527	
280	0.164653	0.251633	0.380526	0.555744	0.188095	
290	0.0677209	0.0199092	0.300567	0.468655	1	
300	0.461898	0.173593	0.280675	0.382166	1	
310	0.383458	0.213538	1	0.271314	0.832463	
320	0.0293011	0.523906	0.782512	0.398262	1	
330	0.226333	0.349756	0.269153	0.309545	1	
340	0.175867	0.220762	0.511402	0.0613285	0.630846	
350	0.400828	0.791686	0.186465	0.2285	0.915033	
360	8.55068e-14	3.47724e-14	3.62255e-14	3.0087e-14	4.82924e-14	
"Scaling"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	NULL	1	NULL	1	1	
0.35	1	0.744328	1	0.250995	0.809225	
0.45	1	0.81036	1	0.174617	0.936573	
0.55	1	0.964054	0.608222	0.102281	1	
0.65	1	0.745011	0.708452	0.0313664	0.329653	
0.75	0.466752	0.37407	1	0.120179	0.387995	
0.85	0.35715	0.139366	0.857742	0.0416675	0.325799	
0.95	0.228244	0.0930563	0.830478	0.0893805	0.0549901	
1.05	0.466459	0.33382	1	0.0526711	0.22219	
1.15	1	1	0.523369	0.11373	0.664996	
1.25	0.91631	0.667392	0.216621	0.134687	0.28633	
1.35	0.280148	1	1	0.177462	0.617179	
1.45	1	1	1	0.0500428	0.236943	
1.55	1	1	0.578888	0.174366	0.389135	
1.65	1	1	0.405292	0.23672	0.537047	
1.75	1	1	1	0.191625	0.289432	
1.85	1	1	0.71738	0.140258	0.307949	
1.95	1	1	1	0.24636	0.631441	

