"Brightness change"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	32.5581	37.5	1.36986	23.2558	21.1111	
-117	46.5517	48.6487	5.75758	30.8411	25.7028	
-107	59.7015	55.3398	11.8598	39.3443	31.7568	
-97	65.4321	62.6087	16.7526	51.9084	41.9753	
-87	80.8511	71.7557	24.3309	52.5974	47.6684	
-77	83.6538	77.7778	31.3539	56.6845	55.9036	
-67	82.1138	87.5776	42.1546	60.0917	64.6532	
-57	86.6667	85.8639	56.6125	66.4032	75.1101	
-47	94.4828	92.7885	70.615	72.7273	81.4815	
-37	95.5696	96.875	86.3636	82.1053	91.0387	
-27	99.3939	98.6842	95	93.6667	98.0198	
-17	100	99.5614	97.2727	100	99.4141	
-7	100	100	96.1364	100	100	
3	100	100	96.8182	100	100	
13	100	100	97.0455	100	100	
23	100	100	96.5909	100	100	
33	100	100	96.3554	100	99.6094	
43	98.8024	99.1266	95.4338	99.6599	99.6094	
53	98.8024	97.3799	94.9772	96.6667	97.4609	
63	95.8084	95.8525	93.8497	92.6667	93.9335	
73	93.2099	94.686	89.9083	89.1156	89.4531	
83	93.4211	90.0524	82.9493	86.1592	86.8952	
93	92.6471	81.5642	72.6218	80.3509	77.1484	
103	85.9375	77.9762	59.2075	76.2542	70.0803	
113	81.8966	73.2026	46.0094	71.2803	58.8235	
123	78	61.8321	37.8897	62.6298	50.2304	
"Gaussian blur"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	94.702	97.1564	70.0229	56	86.8812	
2	94.1176	94.898	58.042	57.4074	82.3529	
3	93.0435	95.1515	55.1084	51.8248	72.7869	
4	94.0594	92.8058	48.0851	52.4272	65.2344	
5	97.4359	92.3729	50	55.0562	61.5044	
6	97.0149	92.4528	43.75	54.0541	56.25	
7	92.7273	86.2069	44.7368	51.4706	51.7241	
8	93.75	73.4177	42.623	51.7241	48.6301	
9	75	73.5294	36.7347	47.9167	44.6154	
"Rotation"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	
10	85.6287	76.8559	57.9545	65	45.3125	
20	83.0303	73.0594	53.4091	64	31.4453	
30	82.5	70.5314	53.8636	63.7681	25.3086	
40	84.6154	69.4581	51.5909	58.194	24.5322	
50	87.7419	66.6667	51.8182	60.3333	22.7273	
60	83.3333	67.2727	51.3636	63.3333	26.4822	
70	82.6347	67.6856	52.7523	64.3333	32.582	
80	84.4311	70.7424	54.2334	69.3333	46.0938	
90	96.9512	81.6594	69.5652	92.2559	92.3228	
100	86.2275	74.2358	50.4545	65	46.4844	
110	82.6347	65.0655	48.8636	68	32.6172	
120	81.1321	64.6018	51.1364	62.4561	25.6198	
130	81.0458	68.8679	48.4091	58.3333	25.7384	
140	81.9355	63.4703	47.0455	62.3333	23.2465	
150	82.0988	67.7273	49.3182	61.6667	27.4704	
160	82.0359	66.0793	47.6959	65.6667	32.9832	
170	84.4311	72.0524	46.8822	69	47.2656	
180	99.3902	93.8596	60.2299	89.6667	89.8438	
190	86.8263	75.9825	52.0455	65.6667	46.0938	
200	82.0359	73.1481	47.836	65	31.0547	
210	83.8509	70.5882	50.4545	64.2105	25.4132	
220	83.7662	70.0483	47.2727	60	25.2588	
230	85.1613	66.5049	47.7064	60.6667	24.5399	
240	82.8221	64.574	50.6818	64	26.3366	
250	80.2395	68.559	49.3056	66.6667	33.3333	
260	83.2335	71.179	53.5963	69.3333	45.7031	
270	95.2096	82.0961	69.5455	93.6667	93.3594	
280	85.6287	72.9258	57.7273	64.3333	45.3125	
290	83.7349	65.9389	49.3182	62.6667	30.6641	
300	80.2469	65.7658	51.3636	63.1387	26.1759	
310	83.871	69.1589	52.0455	58.7838	22.3819	
320	85.8064	62.7907	53.6364	60	24.7012	
330	83.8509	67.7419	56.1364	64	26.2425	
340	81.4371	67.6856	55.2995	64.3333	31.0976	
350	86.2275	71.6157	55.2511	70	44.9219	
360	100	100	100	100	100	
"Scaling"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	NULL	14.7059	NULL	60	54.1667	
0.35	100	20.6897	29.5455	62.9032	52.8302	
0.45	75	40	21.9697	63.4409	37.931	
0.55	79.4118	50.9615	36.087	62.9032	43.0556	
0.65	81.6667	73.5043	39.7924	72.5	49.7674	
0.75	90.4762	73.3333	43.3048	65.4028	54.3651	
0.85	75.4545	80.7018	54.4304	66.2698	58.9172	
0.95	90.9091	90.1961	54.3529	64.6667	72.4942	
1.05	91.018	90.393	54.5454	67.6667	71.5726	
1.15	74.8503	84.2795	53.1818	66.3333	58.5938	
1.25	68.8623	75.9825	53.8636	68	53.3203	
1.35	88.6227	65.9389	44.7727	64.3333	54.1016	
1.45	91.018	72.4891	46.8182	64	53.3203	
1.55	82.0359	75.9825	38.8636	68	53.125	
1.65	70.6587	77.2926	38.1818	66	48.6328	
1.75	71.8563	78.6026	38.8636	63	48.6328	
1.85	82.6347	75.5458	31.1364	65.3333	48.4375	
1.95	92.8144	75.9825	28.6364	69	50.5859	

