"Brightness change"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	532.48	0.371385	295.805	215.349	0.199468	
-117	485.238	0.347878	294.672	198.841	0.203259	
-107	459.963	0.30678	291.351	173.607	0.172465	
-97	402.426	0.258968	271.196	145.147	0.151272	
-87	360.806	0.206556	253.002	114.813	0.137205	
-77	311.81	0.15708	235.516	102.321	0.118665	
-67	274.078	0.120732	229.563	92.7141	0.108184	
-57	229.209	0.0852276	213.536	71.1277	0.0818989	
-47	191.497	0.0559247	188.478	52.8853	0.0606926	
-37	131.882	0.0268958	137.112	32.5402	0.0360009	
-27	64.7862	0.00753756	74.5225	11.6275	0.013554	
-17	8.12112	0.00243306	38.9358	1.18062	0.00178413	
-7	0	9.99233e-07	24.2395	0.0357735	0.000421089	
3	0	1.03628e-06	16.6752	0.0304875	0.000405249	
13	0	1.37585e-05	30.1152	0.0213807	0.000407441	
23	1.87437	0.000151987	39.1866	0.0362611	0.000427738	
33	4.51423	0.00394157	47.1354	0.714812	0.00111084	
43	25.5633	0.00588307	57.4815	2.15347	0.00500426	
53	63.0115	0.0155844	76.3365	5.92247	0.0106465	
63	103.612	0.0347752	93.0217	10.6091	0.0208571	
73	162.346	0.0583482	115.772	17.4327	0.0331661	
83	211.417	0.0853534	152.751	28.0946	0.0488926	
93	246.958	0.116362	183.634	37.3153	0.063478	
103	278.619	0.16511	198.366	50.7411	0.0817466	
113	317.344	0.209011	221.256	61.2128	0.0965733	
123	353.692	0.244728	236.397	74.0487	0.1149	
"Gaussian blur"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	129.755	0.0244195	110.302	76.9663	0.0713998	
2	157.224	0.0409338	141.829	101.728	0.101919	
3	191.462	0.0632461	176.324	83.0529	0.130301	
4	205.564	0.0754925	178.15	81.3978	0.141554	
5	215.657	0.0928036	194.112	87.1768	0.156354	
6	228.185	0.11241	209.668	82.1069	0.166654	
7	255.607	0.113239	189.993	88.7143	0.171882	
8	264.763	0.128818	226.527	85.358	0.18929	
9	278.527	0.13272	231.387	86.3538	0.187738	
"Rotation"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	0	0	0	0	0	
10	228.895	0.0965701	218.553	67.2616	0.103895	
20	214.463	0.096511	216.514	66.7968	0.139909	
30	231.139	0.0749014	218.734	60.218	0.15458	
40	231.526	0.0803516	221.128	59.9655	0.161365	
50	226.498	0.077267	218.541	70.8412	0.156099	
60	231.282	0.0868	223.597	70.7881	0.152726	
70	226.57	0.0899263	218.442	68.8014	0.13693	
80	210.762	0.110566	217.639	68.2073	0.107678	
90	148.563	0.068226	117.07	14.765	0.00972852	
100	224.65	0.092158	217.207	71.2865	0.107914	
110	218.881	0.0935826	212.938	65.462	0.137586	
120	227.739	0.0772815	214.851	62.1614	0.160638	
130	227.848	0.0740947	218.023	63.3804	0.160163	
140	227.674	0.0824112	218.681	70.6157	0.153042	
150	233.827	0.0850011	227.028	70.0076	0.152528	
160	238.243	0.0831665	218.206	68.0248	0.138762	
170	219.875	0.079067	214.865	65.8642	0.106991	
180	65.474	0.0392495	118.164	24.7893	0.0139763	
190	229.476	0.0913006	217.058	75.8618	0.105951	
200	219.058	0.0980262	212.88	63.5942	0.139316	
210	225.911	0.0717622	217.21	63.955	0.16095	
220	234.374	0.0819637	223.304	65.6615	0.157752	
230	226.649	0.0778379	217.152	66.5438	0.156754	
240	226.002	0.0847556	230.153	66.6859	0.152753	
250	223.324	0.095291	223.816	68.3023	0.142773	
260	216.237	0.10965	214.277	69.2334	0.107848	
270	142.374	0.0692741	111.829	17.5807	0.0111877	
280	218.334	0.0875241	218.309	70.7782	0.105371	
290	219.019	0.0909898	213.248	69.5422	0.139855	
300	222.282	0.0788089	215.765	59.9716	0.156195	
310	230.539	0.0751758	216.68	64.3713	0.159766	
320	229.743	0.0736862	218.77	68.5853	0.160268	
330	233.296	0.0790776	220.921	72.9853	0.152776	
340	227.418	0.0920946	218.575	66.0341	0.138581	
350	226.968	0.0792251	219.038	67.649	0.104053	
360	0	0	0	0	0	
"Scaling"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	NULL	0.270568	NULL	94.104	0.0822929	
0.35	403.497	0.163394	237.914	95.8168	0.105529	
0.45	400.86	0.199892	252.605	73.563	0.122521	
0.55	394.079	0.169393	227.581	73.3711	0.116346	
0.65	298.241	0.128288	230.528	71.1283	0.10923	
0.75	292.303	0.190537	235.858	68.2694	0.105347	
0.85	413.281	0.165707	199.801	73.7466	0.117199	
0.95	275.941	0.0731664	231.063	70.1331	0.0726628	
1.05	264.375	0.0689063	218.021	71.5872	0.0723722	
1.15	409.908	0.15007	220.847	79.7804	0.107708	
1.25	365.052	0.186749	216.586	69.0042	0.107532	
1.35	278.147	0.177712	232.372	77.8692	0.104598	
1.45	281.716	0.151935	203.384	83.9356	0.100054	
1.55	329.614	0.125944	228.244	66.0919	0.107183	
1.65	401.772	0.119889	219.677	69.5756	0.10933	
1.75	401.716	0.139825	199.556	78.1278	0.108314	
1.85	323.221	0.16412	231.312	82.2404	0.0971487	
1.95	256.819	0.182982	232.423	69.565	0.0895515	

