"Brightness change"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	37.8378	50	2.91971	25.641	31.1475	
-117	58.6956	60	10.9195	35.1064	38.3234	
-107	66.6667	66.2791	22	45.283	47	
-97	70.6667	75	30.3738	59.1304	59.6491	
-87	84.4444	81.0345	40.1606	64.2857	69.962	
-77	90.625	88.1481	51.9685	66.6667	77.8523	
-67	89.3805	94	65.9341	73.1844	84.7507	
-57	92.8571	96.4706	80.7947	80.3828	89.267	
-47	97.1631	96.9849	90.1163	92.1659	94.5107	
-37	99.3421	99.5413	97.4359	94.7368	98.6755	
-27	100	99.5575	99.7613	99.2933	100	
-17	100	100	99.7669	100	100	
-7	100	100	99.7642	100	100	
3	100	100	100	100	100	
13	100	100	99.7664	100	100	
23	100	100	100	100	100	
33	100	100	100	100	100	
43	100	100	100	100	100	
53	100	100	99.7602	99.3151	99.8	
63	99.3789	98.1132	98.5646	98.2332	98.9691	
73	97.4194	98	98.4925	95.9707	98.4946	
83	97.2603	95.5556	96.5147	95.4023	97.2912	
93	94.0298	91.25	91.7889	93.0894	94.0476	
103	90.9091	90.3448	84.106	92.3077	89.0306	
113	89.6226	84.2105	73.4082	89.1775	79.8898	
123	87.6404	70.4348	60.5364	81.1659	71.9472	
"Gaussian blur"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	98.6207	100	91.8919	81.9512	95.9016	
2	98.4615	100	83.2776	76.0736	92.7445	
3	96.3964	99.3671	71.4859	59.6639	83.4586	
4	96.9388	96.2687	56.7839	57.4468	78.4038	
5	97.4359	97.3214	54.0541	57.6471	73.1579	
6	97.0149	97.0297	47.1154	56.338	68.0233	
7	92.7273	89.2857	45.9459	53.0303	61.6438	
8	93.75	76.3158	42.623	52.6316	57.7236	
9	75	76.9231	37.5	48.9362	53.7037	
"Rotation"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	
10	94.0789	91.6667	81.4697	87.0536	69.8795	
20	96.4789	89.8876	76.7974	86.0987	54.2088	
30	94.2857	88.4848	76.4516	83.8095	44.7273	
40	97.0588	89.8089	74.9175	81.3084	43.3824	
50	97.8417	86.7924	74.5098	80.8036	43.2331	
60	97.1223	86.5497	72.2045	83.7004	49.8141	
70	96.5035	87.5706	75.9076	85.3982	55.2083	
80	96.5753	86.631	76.9481	86.6667	75.3994	
90	99.375	90.7767	85.6338	98.5611	98.9451	
100	96.6443	89.4737	70.2532	85.5263	72.1212	
110	96.5035	84.1808	73.6301	88.3117	55.298	
120	92.8058	88.4848	72.8155	82.4074	46.2687	
130	93.9394	87.9518	69.3811	80.2752	43.4164	
140	92.029	85.2761	68.0921	80.9524	44.6154	
150	94.3262	87.6471	70.684	83.3333	51.1029	
160	95.8042	87.7193	69.4631	84.9138	54.5139	
170	97.2414	91.1602	66.5574	86.6109	76.8254	
180	99.3902	99.5349	77.2861	97.8182	98.2906	
190	96.0265	90.625	74.3506	85.2814	71.0843	
200	95.1389	90.8046	68.4039	85.5263	52.3026	
210	95.0704	88.3436	72.0779	84.3318	44.8905	
220	96.2687	90.625	67.5325	83.3333	44.2029	
230	92.9577	86.7089	68.6469	82.7273	45.4545	
240	95.7447	87.8049	71.246	84.5815	49.0775	
250	94.3662	87.7095	69.8361	83.3333	56.0137	
260	95.8621	87.1658	73.5669	85.5967	72.8972	
270	99.375	92.1569	85.2368	99.2933	99.5833	
280	96.6216	87.4346	78.3951	85.7778	70.5167	
290	96.5278	85.3107	71.6172	83.1858	52.862	
300	94.8905	89.0244	75.5853	85.2217	45.7143	
310	96.2963	87.574	76.3333	82.0755	38.5159	
320	97.0803	83.3333	77.3771	80	46.6165	
330	93.75	87.5	77.918	83.8428	49.6241	
340	97.1429	91.1765	79.2079	83.913	52.7586	
350	97.2973	89.6175	79.868	86.7769	73.2484	
360	100	100	100	100	100	
"Scaling"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	NULL	15.1515	NULL	61.3636	54.1667	
0.35	100	22.6415	29.5455	66.1017	56	
0.45	75	44.4444	24.7863	71.0843	41.25	
0.55	79.4118	60.2273	46.1111	72.2222	48.062	
0.65	83.0508	81.9048	56.3725	84.058	61.8497	
0.75	95	83.1933	64.6808	82.6347	64.6226	
0.85	86.4583	89.6104	76.5125	83.9196	71.7054	
0.95	99.2366	96.8421	79.6552	86.9955	88.8571	
1.05	96.8153	99.0431	77.9221	87.1245	91.4948	
1.15	93.985	95.0739	75.974	85.7759	80.2139	
1.25	85.8209	91.5789	76.9481	81.6	70.7254	
1.35	97.3684	86.7816	71.1191	77.8226	74.2627	
1.45	95.5975	92.7374	70.068	77.1084	75.2066	
1.55	87.8205	89.6907	64.7727	80.6324	74.7253	
1.65	83.0986	88.5	64.1221	79.5181	66.9355	
1.75	86.9565	89.1089	64.5283	77.459	65.3543	
1.85	90.1961	86.0696	52.4904	77.7778	64.4156	
1.95	96.875	86.1386	48.2759	81.4961	66.2404	

