"Brightness change"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	86.0465	75	46.9178	90.6977	67.7778	
-117	79.3103	81.0811	52.7273	87.8505	67.0683	
-107	89.5522	83.4951	53.9084	86.8852	67.5676	
-97	92.5926	83.4783	55.1546	87.7863	70.3704	
-87	95.7447	88.5496	60.5839	81.8182	68.1347	
-77	92.3077	88.2353	60.3325	85.0267	71.8072	
-67	91.8699	93.1677	63.9344	82.1101	76.2864	
-57	93.3333	89.0052	70.0696	82.6087	84.141	
-47	97.2414	95.6731	78.3599	78.9091	86.214	
-37	96.2025	97.3214	88.6364	86.6667	92.2607	
-27	99.3939	99.1228	95.2273	94.3333	98.0198	
-17	100	99.5614	97.5	100	99.4141	
-7	100	100	96.3636	100	100	
3	100	100	96.8182	100	100	
13	100	100	97.2727	100	100	
23	100	100	96.5909	100	100	
33	100	100	96.3554	100	99.6094	
43	98.8024	99.1266	95.4338	99.6599	99.6094	
53	98.8024	97.3799	95.2055	97.3333	97.6562	
63	96.4072	97.6959	95.2164	94.3333	94.9119	
73	95.679	96.6184	91.2844	92.8571	90.8203	
83	96.0526	94.2408	85.9447	90.3114	89.3145	
93	98.5294	89.3855	79.1183	86.3158	82.0312	
103	94.5312	86.3095	70.3963	82.6087	78.7149	
113	91.3793	86.9281	62.6761	79.9308	73.6308	
123	89	87.7863	62.5899	77.1626	69.8157	
"Gaussian blur"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	96.0265	97.1564	76.2014	68.3333	90.5941	
2	95.5882	94.898	69.697	75.463	88.7955	
3	96.5217	95.7576	77.0898	86.8613	87.2131	
4	97.0297	96.4029	84.6808	91.2621	83.2031	
5	100	94.9153	92.5	95.5056	84.0708	
6	100	95.283	92.8571	95.9459	82.6923	
7	100	96.5517	97.3684	97.0588	83.908	
8	100	96.2025	100	98.2759	84.2466	
9	100	95.5882	97.9592	97.9167	83.0769	
"Rotation"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	
10	91.018	83.8428	71.1364	74.6667	64.8438	
20	86.0606	81.2785	69.5455	74.3333	58.0078	
30	87.5	79.7101	70.4545	76.087	56.5844	
40	87.1795	77.3399	68.8636	71.5719	56.5489	
50	89.6774	76.8116	69.5455	74.6667	52.5692	
60	85.8025	77.7273	71.1364	75.6667	53.1621	
70	85.6287	77.2926	69.4954	75.3333	59.0164	
80	87.4251	81.6594	70.4806	80	61.1328	
90	97.561	89.9563	81.2357	93.6027	93.3071	
100	89.2216	82.9694	71.8182	76	64.4531	
110	85.6287	77.2926	66.3636	77	58.9844	
120	87.4214	73.0089	70.2273	75.7895	55.3719	
130	86.2745	78.3019	69.7727	72.6667	59.2827	
140	89.0323	74.4292	69.0909	77	52.1042	
150	87.037	77.2727	69.7727	74	53.7549	
160	85.6287	75.3304	68.6636	77.3333	60.5042	
170	86.8263	79.0393	70.4388	79.6667	61.5234	
180	100	94.2982	77.931	91.6667	91.4062	
190	90.4192	83.8428	70	77	64.8438	
200	86.2275	80.5556	69.9317	76	59.375	
210	88.1988	79.902	70	76.1404	56.6116	
220	87.013	77.2947	70	72	57.1429	
230	91.6129	76.699	69.4954	73.3333	53.9877	
240	86.5031	73.5426	71.1364	75.6667	53.6634	
250	85.0299	78.1659	70.6019	80	59.5092	
260	86.8263	81.6594	72.8538	81	62.6953	
270	95.8084	89.083	81.5909	94.3333	93.75	
280	88.6228	83.4061	73.6364	75	64.2578	
290	86.747	77.2926	68.8636	75.3333	58.0078	
300	84.5679	73.8739	67.9545	74.0876	57.2597	
310	87.0968	78.972	68.1818	71.6216	58.1109	
320	88.3871	75.3488	69.3182	75	52.988	
330	89.441	77.4193	72.0455	76.3333	52.8827	
340	83.8323	74.2358	69.8157	76.6667	58.9431	
350	88.6228	79.9127	69.1781	80.6667	61.3281	
360	100	100	100	100	100	
"Scaling"
Argument	"AKAZE"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	NULL	97.0588	NULL	97.7778	100	
0.35	100	91.3793	100	95.1613	94.3396	
0.45	100	90	88.6364	89.2473	91.954	
0.55	100	84.6154	78.2609	87.0968	89.5833	
0.65	98.3333	89.7436	70.5882	86.25	80.4651	
0.75	95.2381	88.1481	66.9516	79.1469	84.127	
0.85	87.2727	90.0585	71.1392	78.9683	82.1656	
0.95	91.6084	93.1373	68.2353	74.3333	81.5851	
1.05	94.012	91.2664	70	77.6667	78.2258	
1.15	79.6407	88.6463	70	77.3333	73.0469	
1.25	80.2395	82.9694	70	83.3333	75.3906	
1.35	91.018	75.9825	62.9545	82.6667	72.8516	
1.45	95.2096	78.1659	66.8182	83	70.8984	
1.55	93.4132	84.7162	60	84.3333	71.0938	
1.65	85.0299	87.3362	59.5455	83	72.6562	
1.75	82.6347	88.2096	60.2273	81.3333	74.4141	
1.85	91.6168	87.7729	59.3182	84	75.1953	
1.95	95.8084	88.2096	59.3182	84.6667	76.3672	

